aardolie
Abrus precatorius
Acanthocardia tuberculata
Accipiter gentilis
Accipiter nisus
Achatina schweinfurthi
Acherontia atropos
Acinonyx jubatus
Acipenser sturio
Acrocephalus arundinaceus
Acrocodia indica
Acropora
Acropora cervicornis
Acryllium vulturinum
Actitis hypoleucos
Aegithalos caudatus
Aegolius funereus
Aegypius monachus
Aepyceros melampus
Aequipecten seniensis
Aerodramus fuciphagus
Aesculus hippocastanum
agaat
Agamia agami
Agaricia agaricites
Agenysa caedemadens
Agrius convolvuli
Ailurus fulgens
Aix galericulata
Alauda arvensis
Alaus oculatus
albiet
Alca torda islandica
Alcedo atthis
Alcelaphus caama
Alces alces
Aldabrachelys gigantea
alexandriet
Alligator mississippiensis
Allopleuron hofmanni
Allostethus indicum
Alnus glutinosa
Alopias vulpinus
Alopochen aegyptiaca
Alouatta seniculus
Alytes obstetricans
Amalda obsoleta
Amaurobius similis
Amazilia fimbriata
amazoniet
Amblyraja radiata
Amblysomus hottentotus
Ameiva ameiva
amethist
ametrien
Amphiprion ocellaris
Amphisbaena fuliginosa
Anancus arvernensis
Anarhichas lupus
Anarosaurus sp.
Anas clypeata
Anas platyrhynchos
Anax imperator
Anaxyrus terrestris
andalusiet
Andrias davidianus
Anguilla anguilla
Anguis fragilis
Anhinga anhinga
Anhinga rufa
Anobium punctatum
Anomoepus pienkovskii
Anser anser
Anthrenus verbasci
Anthriscus sylvestris
Anthropoides virgo
Anthus pratensis
Antidorcas marsupialis
Antilope cervicapra
Anura
Aonyx cinereus
apatiet
Apis mellifera
Apodemus agrarius
Apodemus sylvaticus
Aptenodytes patagonicus
Aptera fusca
Apteryx australis
Apteryx mantelli
aquamarijn
Aquila audax
Ara ararauna
aragoniet
Arapaima gigas
Archaeopteryx lithographica
Architectonica carocollata
Architeuthis
Arctica islandica
Ardea cinerea
Ardea purpurea
Ardeotis kori
Ardipithecus ramidus
Arenaria interpres
Argiope bruennichi
Arion rufus
Armillaria mellea
Artibeus jamaicensis
Artocarpus integer
Aschiphasma annulipes
Asio flammeus
Asio otus
Aspidimorpha miliaris
Astarte borealis
Astarte goldfussi
Asteroidea
Astrapia nigra
Astropecten irregularis
Ateles paniscus
Athene noctua
Athyrium
Aulacorhynchus prasinus
Australaster giganteus
Australopithecus afarensis
Australopithecus africanus
Autographa gamma
azuriet
Babyrousa babyrussa
Balaenidae
Balaenoptera
Balaenoptera borealis
Balearica pavonina
Balistoides conspicillum
bariet
Barnardius zonarius
barnsteen
basalt
Bassariscus astutus
Bathynomus giganteus
Bathypolypus sponsalis
bauxiet
Belone belone
Berberis vulgaris
Berberomeloe majalis
bergkristal
beryl
Betta splendens
Bison bison
Bison bonasus
Bison priscus
Bitis gabonica
Bjerkandera fumosa
Bolinus beyrichi
Bombycilla garrulus
Bos javanicus
Bos primigenius
Bos taurus
Boselaphus tragocamelus
Bradypus tridactylus
Branta bernicla
Branta ruficollis
Branta sandvicensis
Brugmansia
Bubalus bubalis
Bubalus depressicornis
Bubo bubo
Bubo lacteus
Bubo scandiacus
Buccinum undatum
Buceros hydrocorax
Bucorvus leadbeateri
Bufo bufo
Busycon carica
Busycon contrarium
Buteo buteo
Cacajao melanocephalus
Cacatua galerita
Cacatua haematuropygia
Cacicus haemorrhous
Caiman crocodilus
Caiman yacare
Calamites sp.
calciet
Calidris alba
Calidris alpina
Calla
Callichroma auricomum
Callionymus lyra
Calliphora vomitoria
Callistoctopus macropus
Callithrix pygmaea
Callonetta leucophrys
Callosciurus prevostii
Calluna vulgaris
Calyx nicaeensis
Camarasaurus supremus
Camelus bactrianus
Cancellaria contorta gelriana
Cancer pagurus
Canis aureus
Canis lupus
Canis lupus familiaris
Capra hircus
Capra ibex
Capreolus capreolus
Carabus auronitens
Caracal caracal
Caracara plancus
Carassius auratus auratus
Carausius morosus
Carcharodon carcharias
Cardinalis cardinalis
Cardioptera squalodon
Carduelis carduelis
Cariama cristata
Carnegiea gigantea
carneool
Cassis tuberosa
cassiteriet
Castanea sativa
Castor fiber
Casuarius casuarius
Cedrus libani
Ceiba pentandra
celestien
Centrochelys sulcata
Ceratotherium simum
Cercartetus caudatus
Cercopithecus cephus
Cercopithecus mitis
Cercopithecus petaurista
Certhia brachydactyla
cerussiet
Cervus elaphus
Cervus elaphus maral
Cervus rhenanus
Ceryle rudis
Cetonia aurata
Chaetodon auriga
Chaetophractus villosus
chalcedoon
chalcopyriet
Chalcosoma atlas
Chamaeleo africanus
charoiet
Charonia tritonis
Chelidonichthys lucerna
Chelmon rostratus
Chelon labrosus
Chelonia mydas
Chicoreus aquitanicus
Chicoreus ramosus
Chinchilla lanigera
Chiropotes satanas
Chiroxiphia linearis
Chlorocebus aethiops
Chlorogomphidae
Choloepus didactylus
chrysoberyl
chrysoberyl-kattenoog
Chrysochroa buqueti
chrysocolla
Chrysolampis mosquitus
Chrysolophus pictus
chrysopraas
Cicinnurus regius
Ciconia ciconia
Cinclus cinclus
Circus aeruginosus
Circus buffoni
Cirostrema crassicostatum
citrien
Clausinella scalaris
Clavatula boreointerrupta
Cliona patera
Clupea harengus
Cnemidophorus lemniscatus
Coccosteus cuspidatus
Cochlespira corneti
Cocos nucifera
Coelodonta antiquitatis
Coffea arabica
Colibri coruscans
Coloborhynchus spielbergi
Columba livia
Compsognathus longipes
Confuciusornis sp.
Connochaetes gnou
Connochaetes taurinus
Conus antidiluvianus
Conus leopardus
Conus litteratus
copal
Coracias cyanogaster
Coracias garrulus
Coragyps atratus
Corallium rubrum
Corallus caninus
Cordiopsis polytropa nysti
cordiëriet
Coronella austriaca
Coronula diadema
Corvus corax
Corvus cornix
Corvus corone
Corvus frugilegus
Corvus monedula
Corylus avellana
Coryphaena hippurus
Coturnix coturnix
Cranae luctuosa
Creophilus maxillosus
Crepidula fornicata
Cricetus cricetus
crocidoliet
Crocodylus niloticus
Crocodylus porosus
Crocodylus siamensis
Crocuta crocuta spelaea
Crossarchus obscurus
Crossoptilon auritum
Crotalus adamanteus
Crotalus atrox
Ctenocella lyra
Ctenosaura similis
Cuculus canorus
Cuniculus paca
Curculionidae
Cyanerpes caeruleus
Cyanistes caeruleus
Cyanocorax yncas
Cyathus striatus
Cyclopterus lumpus
Cyclura
Cyclura cornuta
Cygnus buccinator
Cygnus olor
Cymbirhynchus macrorhynchos
Cyphogastra javanica
Cyprinus carpio
Cyrtodiopsis dalmanni
Daboia russelii
Dacelo novaeguineae
Dactylioceras athleticum
Dactylis glomerata
Daldinia concentrica
Dama dama
danburiet
Daphne mezereum
Daphnia pulex
Dardanus megistos
Dasyprocta leporina
Dasypus novemcinctus
Deilephila elpenor
Deinogalerix koenigswaldi
Deinotherium giganteum
Delichon urbicum
Delonix regia
Delphinapterus leucas
Delphinium
Delphinus delphis
demantoid
Dendrobates auratus
Dendrobates tinctorius
Dendrocopos major
Dendrolagus dorianus
Dendrolagus matschiei
Dendrophylla ramea
Dendrophyllia
Dermestes
Dermochelys coriacea
diamant
Diatrype disciformis
Dicrurus leucophaeus
Dicrurus paradiseus
Dicynodon sp.
Didelphis aurita
Digitalis purpurea
Diodon holocanthus
Diodon liturosus
Diomedea exulans
Diplodocus sp.
Dipsastraea favus
Dipturus batis
Dolichotis patagonum
Dolichovespula media
Dolomedes plantarius
Dromaius novaehollandiae
Drosophila
Dryopteris affinis
Dugesia gonocephala
Dynastes hercules
Echinogorgia reticulata
Echinoidea
Echinopora sp.
Eclectus roratus
Ectobius lapponicus
Edmontosaurus annectens
Edmontosaurus sp.
Egretta garzetta
Elanus caeruleus
Electrophorus electricus
Eliomys quercinus
Emberiza rutila
Emys orbicularis
Encephalartos
Engraulis encrasicolus
enstatiet
Entada
Epinephelus marginatus
Equus ferus
Equus hemionus
Equus hydruntinus
Equus quagga burchellii
Equus robustus
Equus zebra
Eretmochelys imbricata
Erinaceus europaeus
Eristalis pertinax
Eristalis tenax
Erithacus rubecula
Errina fissurata
Erythrura gouldiae
Esox lucius
Eucalyptus
Eucera longicornis
Eucladoceros ctenoides
Eudocimus ruber
Eudorcas thomsonii
Eudromia elegans
Eudyptes chrysolophus
Eugenysa grossa
Eumorphus marginalis
Eupholes sp.
Euplectella aspergillum
Euthalia aconthea
Eutrachelus temmincki
Exidia thuretiana
Exocoetus volitans
Fagus sylvatica
Falco biarmicus
Falco peregrinus
Falco tinnunculus
Falco vespertinus
fancy saffier
Faveoloolithus ningxiaensis
Felis catus
Ficus condita
fluoriet
Fomes fomentarius
fossiele zeebodem 1
Fragaria
Fratercula arctica
Fringilla coelebs
Fulica atra
Fulmarus glacialis
Gadus morhua
Galago senegalensis
Galbula galbula
Galemys pyrenaicus
galeniet
Gallinago gallinago
Gallus gallus domesticus
Ganoderma adspersum
Garrulus glandarius
Gasterosteus aculeatus
Gavia stellata
Gazella leptoceros
gebande ijzersteen
gedegen koper
Gekko gecko
Gempylus serpens
Geococcyx californianus
Geronticus calvus
Ginkgo biloba
gips
Giraffa reticulata
Glaucidium passerinum
Glaucomys sabrinus
Globigerinoides trilobus
Globorotalia menardii
Globorotalia truncatulinoides
Gloriosa
Gobiusculus flavescens
Gomphosus caeruleus
Gorilla gorilla
Gossypium herbaceum
goud
Goura scheepmakeri
Gracilechinus acutus
grafiet
grossulaar
Grus japonensis
Gryllus campestris
Gymnophiona
Gyps bengalensis
Gyps fulvus
Gyps rueppellii
Gyroptichius agassizi
Hadrosaurus
Haematopus ostralegus
Halcyon malimbica
Haliaeetus albicilla
Halichoerus grypus
haliet
Halomitra pileus
Haplochromis macrognathus
Haplochromis nyererei
Haustellum haustellum
Hedera helix
Heliopora coerulea
Helix pomatia
Helogale parvula
hematiet
Hemicentetes semispinosus
Hemiechinus auritus
Hemiprocne comata
Hemitragus jemlahicus
Heracleum sphondylium
Herpestidae
hessoniet
Heterocephalus glaber
Heterodontus francisci
Hexaplex erythrostomus
Hexaplex nigritus
Hexaplex regius
Hexaprotodon liberiensis
Himantopus melanurus
Hippocampus
Hippolais icterina
Hippopotamus
Hippopotamus amphibius
Hippopus hippopus
Hirundo rustica
Homarus americanus
Homarus gammarus
Homo erectus
Homo ergaster
Homo floresiensis
Homo habilis
Homo naledi
Homo neanderthalensis
Homo sapiens
Homotelus bromidensis
Homotherium latidens
Hyaena hyaena
Hyaena perrieri
Hydraena britteni
Hydraena franklyni
Hydrochoerus hydrochaeris
hydrogrossulaar
Hyla versicolor
Hylobates lar
Hylobates moloch
Hylobates muelleri
Hylobates sp.
Hylopetes sagitta
Hyoscyamus niger
Hyperoodon ampullatus
Hypholoma fasciculare
Hypoxylon fragiforme
Hypsiboas rosenbergi
Hystrix cristata
Ichthyosaurus sp.
Icterus gularis
Iguana iguana
Iguanodon sp.
Ischnura elegans
Isoptera
Jabiru mycteria
Jacana jacana
Jaculus orientalis
jadeïet
jaspis
Juglans regia
Juniperus communis
Junonia hierta
Kalanchoe daigremontiana
Kigelia africana
Kobus ellipsiprymnus
kornerupien
korund
kwarts
kwarts met hematiet
kwarts met rutiel
kyaniet
labradoriet
Labulla thoracica
Lacerta agilis
Lacerta viridis
Lachnus roboris
Lactarius controversus
Laetiporus sulphureus
Lagenorhynchus acutus
Lagenorhynchus albirostris
Lagostomus maximus
Lagothrix lagothricha
Lama glama
Lambis truncata sowerbyi
Lampris guttatus
Lamprotornis chalcurus
Lamprotornis superbus
Lantana camara
lapilli
lapis lazuli
Larosterna inca
Larus argentatus
Larus fuscus
Larus marinus
Latimeria chalumnae
Latrodectus hesperus
Latrodectus mactans
Latrodectus sp.
Leiopathes grimaldii
Leiothrix lutea
Lemniscomys barbarus
Lemur catta
Leontopithecus rosalia
Lepas anatifera
Leptocorisa oratoria
Leptolepis knorri
Leptonycteris nivalis
Lepus europaeus
Lethocerus indicus
Leucanthemum vulgare
Libelloides coccajus
Lilium martagon
Limax maximus
Limulus polyphemus
Linckia guildingi
Linckia laevigata
Lissotriton vulgaris
Lithobates catesbeianus
Lithodes maja
Lobatus gigas
Lodoicea maldivica
Loligo vulgaris
Lomaptera linae
Lonicera periclymenum
Lophophorus impejanus
Lorius garrulus
Lota lota
Loxia curvirostra
Loxia pytyopsittacus
Loxodonta africana
Lucanus cervus
Lucilia sericata
Lullula arborea
Lumbricus terrestris
Luscinia megarhynchos
Lutjanus argentimaculatus
Lutra lutra
Lycaon pictus
Lynx lynx
Lyrurus tetrix
maansteen
Macaca fascicularis
Macaca fuscata
Macaca sylvanus
Macaca sylvanus florentina
Macraspis festiva
Macroglossum stellatarum
Macropodus opercularis
Macropus rufogriseus
Macropus rufus
Macroscelides proboscideus
Macrothylacia rubi
Mactra glauca
Madoqua kirkii
Magicicada septendecim
Magnolia
malachiet
Malacosoma neustria
malaya-granaat
Mammuthus meridionalis
Mammuthus primigenius
Mandrillus leucophaeus
Mandrillus sphinx
Manis javanica
Mantis religiosa
Maoricardium pseudolima
Margarinotus brunneus
marmer
Marmota marmota
Martes foina
Mauremys reevesii
Mecistops cataphractus
Megaceryle torquata
Megalaima armillaris
Megaloceros giganteus
Megapomponia merula
Meles meles
Melithaea ochracea
Melo aethiopicus
Melo umbilicatus
Melolontha melolontha
Menura novaehollandiae
Mephitis mephitis
Mergus merganser
Merlangius merlangus
Merops albicollis
Merops apiaster
Merops nubicus
Merulina sp.
Mesolimulus walchi
Micromys minutus
Microtus oeconomus
Millepora complanata
Millepora tenera
Mitra grateloupi
Mitra mitra
Mola mola
Mola tecta
moldaviet
Moloch horridus
Momotus momota
Morpho peleides
Morus bassanus
mosagaat
Mosasaurus hoffmanni
Motacilla alba
Muntiacus muntjak
Muntiacus reevesi
Muraena helena
Mus musculus
Muscicapa striata
Mustela erminea
Mustela lutreola
Mustela putorius
Myathropa florea
Mycteria ibis
Myodes glareolus
Myodes rufocanus
Myodes rutilus
Myopa buccata
Myopus schisticolor
Myripristis murdjan
Myrmecophaga tridactyla
Naja naja
Nasalis larvatus
Nasua narica
Nautilus pompilius
Necrodes littoralis
nefriet
Nelusetta ayraud
Nemophas tricolor
Nemoptera bipennis
Neofelis nebulosa
Neopsephotus bourkii
Nephrolepis
Nereites cambrensis
Nestor notabilis
Nicrophorus vespillo
Nicrophorus vespilloides
Nigella damascena
Nothoprocta ornata
Nothosaurus marchicus
Nothosaurus winkelhorsti
Numenius arquata
Numenius arquata arquata
Numida meleagris
Nyctereutes procyonoides
Nycticebus coucang
Nycticorax nycticorax
Ochotona pusilla
Odobenus rosmarus
Odocoileus virginianus
Oenothera biennis
Oiceoptoma thoracicum
Okapia johnstoni
okeniet
oker
olivijn
Oncidium
Ondatra zibethicus
Oophaga lehmanni
opaal
Orchis militaris
Orcinus orca
Oriolus oriolus
Ornithorhynchus anatinus
Orthetrum cancellatum
orthoklaas
Orthotomus sepium
Orycteropus afer
Oryctolagus cuniculus
Osmia rufa
Ostrea edulis
Otocyon megalotis
Otolemur crassicaudatus
Otus scops
Ovibos moschatus
Ovis aries
Ovis aries musimon
Pachyrrhynchus venustus
Pagophilus groenlandicus
Pagurus bernhardus
Pan troglodytes
Panchlora nivea
Pandanus
Pandinoides cavimanus
Pandion haliaetus
Panopea menardii
Panthera gombaszoegensis
Panthera leo
Panthera onca
Panthera pardus
Panthera spelaea
Panthera tigris
Panthera tigris altaica
Panthera uncia
Panulirus echinatus
Papaver rhoeas
Paphiopedilum rothschildianum
Papilio jacksoni
Papilio nireus
Papio cynocephalus
Papio hamadryas
Parabuteo unicinctus
Paradisaea apoda
Paradisaea minor
Paradisaea rubra
Paralejurus dormitzeri
Paranthropus boisei
Pararge aegeria
Parotia sefilata
Parupeneus cyclostomus
Parus major
Passer domesticus
Pavo cristatus
Pedetes capensis
Pelagosaurus typus
Pelecanus onocrotalus
