"Accipiter gentilis",22695683
"Accipiter nisus",22695624
"Acer campestre",193523
"Acer platanoides",193853
"Aceros corrugatus",22682514
"Acinonyx jubatus",219
"Acipenser sturio",230
"Acrocephalus arundinaceus",104317670
"Acrocodia indica",21472
"Acryllium vulturinum",22679572
"Actitis hypoleucos",22693264
"Aegithalos caudatus",103871923
"Aegolius funereus",22689362
"Aegypius monachus",22695231
"Aepyceros melampus",550
"Aerodramus fuciphagus",60847684
"Aesculus hippocastanum",202914
"Agamia agami",22697200
"Agaricia agaricites",133535
"Ailuropoda melanoleuca",712
"Ailurus fulgens",714
"Aix galericulata",22680107
"Alauda arvensis",102998555
"Alcedo atthis",22683027
"Alces alces",56003281
"Aldabrachelys gigantea",9010
"Alligator mississippiensis",46583
"Alnus glutinosa",63517
"Alopias vulpinus",39339
"Alytes obstetricans",55268
"Amazilia fimbriata",22687534
"Amblyraja radiata",161542
"Amblysomus hottentotus",41316
"Ameiva ameiva",203180
"Amphisbaena fuliginosa",203010
"Anarhichas lupus",18155993
"Anas platyrhynchos",22680186
"Anax imperator",59812
"Anaxyrus terrestris",54777
"Andrias davidianus",1272
"Anguilla anguilla",60344
"Anguis fragilis",157249
"Anhinga rufa",22696705
"Annona squamosa",146787183
"Anodorhynchus hyacinthinus",22685516
"Anoura geoffroyi",88109511
"Anser anser",22679889
"Anthropoides virgo",22692081
"Anthus pratensis",22718556
"Antidorcas marsupialis",1676
"Antilope cervicapra",1681
"Aonyx cinereus",44166
"Apis mellifera",42463639
"Apodemus agrarius",1888
"Apodemus sylvaticus",1904
"Aptenodytes patagonicus",22697748
"Apteryx australis",22678122
"Apteryx mantelli",45353580
"Aquila audax",22696064
"Aquila nipalensis",22696038
"Ara ararauna",22685539
"Ara chloropterus",22685566
"Arapaima gigas",1991
"Ardea cinerea",22696993
"Ardea purpurea",22697031
"Ardeotis kori",22691928
"Arenaria interpres",22693336
"Arion rufus",171016
"Artibeus jamaicensis",88109731
"Asio flammeus",22689531
"Asio otus",22689507
"Astrapia nigra",22706212
"Ateles paniscus",2283
"Athene noctua",22689328
"Aulacorhynchus prasinus",22726170
"Babyrousa babyrussa",2461
"Balaenoptera borealis",2475
"Balearica pavonina",22692039
"Barnardius zonarius",22685090
"Bassariscus astutus",41680
"Bathypolypus sponsalis",163107
"Belone belone",198573
"Berberis vulgaris",202941
"Bertholletia excelsa",32986
"Betta splendens",180889
"Betula pendula",62535
"Bison bison",2815
"Bison bonasus",2814
"Bixa orellana",61986316
"Bombus veteranus",13356723
"Bombycilla garrulus",22708146
"Bos javanicus",2888
"Bos primigenius",136721
"Boselaphus tragocamelus",2893
"Bradypus tridactylus",3037
"Branta bernicla",22679946
"Branta leucopsis",22679943
"Branta ruficollis",22679954
"Branta sandvicensis",22679929
"Bubalus depressicornis",3126
"Bubo bubo",22688927
"Bubo lacteus",22688986
"Bubo scandiacus",22689055
"Buceros hydrocorax",22727019
"Bucorvus leadbeateri",22682638
"Bufo bufo",54596
"Buteo buteo",61695117
"Cacajao melanocephalus",70558706
"Cacatua haematuropygia",22684795
"Cacicus haemorrhous",22724034
"Caiman crocodilus",46584
"Caiman yacare",46586
"Calidris alba",22693369
"Calidris alpina",22693427
"Callionymus lyra",198634
"Callonetta leucophrys",22680101
"Callosciurus prevostii",3603
"Calluna vulgaris",202945
"Calocedrus decurrens",42210
"Canis aureus",118264161
"Canis lupus",3746
"Capra hircus",136383
"Capra ibex",42397
"Capreolus capreolus",42395
"Caracal caracal",3847
"Caracara plancus",22733377
"Carcharodon carcharias",3855
"Cardinalis cardinalis",22723819
"Carduelis carduelis",103764950
"Cariama cristata",22692205
"Carnegiea gigantea",152495
"Carpinus betulus",194274
"Castanea sativa",202948
"Castor fiber",4007
"Casuarius casuarius",22678108
"Cathartes aura",22697627
"Cedrus libani",46191675
"Ceiba pentandra",61782438
"Centrochelys sulcata",163423
"Ceratonia siliqua",202951
"Ceratotherium simum",4185
"Cercartetus caudatus",4192
"Cercis siliquastrum",19375494
"Cercopithecus cephus",4214
"Cercopithecus mitis",4221
"Cercopithecus petaurista",4225
"Certhia brachydactyla",22711249
"Cervus elaphus",55997072
"Ceryle rudis",22683645
"Chaetodon auriga",165631
"Chaetophractus villosus",4369
"Chamaeleo africanus",157273
"Chelidonichthys lucerna",198752
"Chelmon rostratus",165659
"Chelon labrosus",135689
"Chelonia mydas",4615
"Chinchilla lanigera",4652
"Chiropotes satanas",39956
"Chiroxiphia linearis",22701071
"Chlorocebus aethiops",4233
"Choloepus didactylus",4777
"Chroicocephalus ridibundus",22694420
"Chrysolampis mosquitus",22687160
"Chrysolophus pictus",22679355
"Cicinnurus regius",22706208
"Ciconia ciconia",22697691
"Cinclus cinclus",22708156
"Circus aeruginosus",22695344
"Circus buffoni",22695373
"Clupea harengus",155123
"Coffea arabica",18289789
"Colibri coruscans",22687114
"Columba livia",22690066
"Connochaetes gnou",5228
"Conus leopardus",192386
"Conus litteratus",192719
"Coracias cyanogaster",22682908
"Coracias garrulus",22682860
"Coragyps atratus",22697624
"Corallium rubrum",50013405
"Corallus caninus",203208
"Coronella austriaca",157284
"Corvus corax",22706068
"Corvus corone",22706016
"Corvus frugilegus",22705983
"Corvus monedula",22705929
"Corylus avellana",63521
"Coryphaena hippurus",154712
"Coturnix coturnix",22678944
"Couratari calycina",33292
"Crocodylus niloticus",45433088
"Crocodylus porosus",5668
"Crocodylus siamensis",5671
"Crossarchus obscurus",41595
"Crossoptilon auritum",22679307
"Crotalus atrox",64311
"Crotalus viridis",64339
"Ctenosaura similis",174480
"Cuculus canorus",22683873
"Cuniculus paca",699
"Cyanerpes caeruleus",22723009
"Cyanistes caeruleus",103761667
"Cyanocorax yncas",22705738
"Cyclopterus lumpus",18237406
"Cyclura cornuta",6042
"Cygnus buccinator",22679859
"Cygnus columbianus",22679862
"Cygnus cygnus",22679856
"Cygnus olor",22679839
"Cymbirhynchus macrorhynchos",103656920
"Cyprinus carpio",6181
"Cystophora cristata",6204
"Dacelo novaeguineae",22683189
"Dama dama",42188
"Daphne mezereum",203486
"Dasyprocta leporina",89497102
"Dasypus novemcinctus",6290
"Delichon urbicum",103811886
"Delonix regia",32947
"Delphinapterus leucas",6335
"Delphinus delphis",6336
"Dendrobates auratus",55174
"Dendrobates tinctorius",55204
"Dendrocopos major",22681124
"Dendrolagus dorianus",6427
"Dendrolagus matschiei",6433
"Dermochelys coriacea",6494
"Dicrurus leucophaeus",22706964
"Dicrurus paradiseus",103711122
"Didelphis aurita",40500
"Digitalis purpurea",203383
"Diodon hystrix",193668
"Diomedea exulans",22698305
"Dipsastraea favus",133569
"Dipturus batis",39397
"Dolichotis patagonum",6785
"Dolomedes plantarius",6790
"Dromaius novaehollandiae",22678117
"Dryopteris affinis",83645082
"Eclectus roratus",22685022
"Egretta garzetta",62774969
"Elanus caeruleus",22695028
"Electrophorus electricus",167700
"Eliomys quercinus",7618
"Emys orbicularis",7717
"Engraulis encrasicolus",198568
"Epinephelus marginatus",7859
"Equus ferus",41763
"Equus hemionus",7951
"Equus zebra",7960
"Eretmochelys imbricata",8005
"Erinaceus europaeus",29650
"Erithacus rubecula",22709675
"Erythrura gouldiae",22719744
"Esox lucius",135631
"Eucera longicornis",19199201
"Eudocimus ruber",22697415
"Eudorcas thomsonii",8982
"Eudromia elegans",22678289
"Eudyptes chrysolophus",22697793
"Exocoetus volitans",198566
"Fagus sylvatica",62004722
"Falco biarmicus",22696487
"Falco peregrinus",45354964
"Falco subbuteo",22696460
"Falco tinnunculus",22696362
"Falco vespertinus",22696432
"Fratercula arctica",22694927
"Fringilla coelebs",22720030
"Fulica atra",22692913
"Fulmarus glacialis",22697866
"Gadus morhua",8784
"Galago senegalensis",8789
"Galbula galbula",22682203
"Galemys pyrenaicus",8826
"Gallinago gallinago",22693097
"Garrulus glandarius",103723684
"Gasterosteus aculeatus",8951
"Gavia stellata",22697829
"Gazella leptoceros",8972
"Gekko gecko",195309
"Gempylus serpens",16509126
"Geococcyx californianus",22684458
"Geronticus calvus",22697496
"Ginkgo biloba",32353
"Glaucidium passerinum",22689194
"Glaucomys sabrinus",39553
"Gobiusculus flavescens",18159817
"Gomphosus caeruleus",187569
"Gorilla gorilla",9404
"Gossypium herbaceum",71774505
"Gossypium hirsutum",71774532
"Goura scheepmakeri",45014473
