Acinonyx jubatus,http://145.136.242.65:8090/iucn_maps/Acinonyx_jubatus_2019-10-08_08-57-41_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Acinonyx jubatus,Occurrence of Acinonyx jubatus,International Union for the Conservation of Nature 2015. Acinonyx jubatus. The IUCN Red List of Threatened Species. Version 2020-1
Acipenser sturio,http://145.136.242.65:8090/iucn_maps/Acipenser_sturio_2019-10-08_08-57-45_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Acipenser sturio,Occurrence of Acipenser sturio,"Kottelat, M. & Freyhof, J. (2008) 2008. Acipenser sturio. The IUCN Red List of Threatened Species. Version 2020-1"
Acrocephalus arundinaceus,http://145.136.242.65:8090/iucn_maps/Acrocephalus_arundinaceus_2019-10-08_08-57-50_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Acrocephalus arundinaceus,Occurrence of Acrocephalus arundinaceus,BirdLife International and Handbook of the Birds of the World (2016) 2015. Acrocephalus arundinaceus. The IUCN Red List of Threatened Species. Version 2020-1
Acryllium vulturinum,http://145.136.242.65:8090/iucn_maps/Acryllium_vulturinum_2019-10-08_08-57-59_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Acryllium vulturinum,Occurrence of Acryllium vulturinum,BirdLife International and Handbook of the Birds of the World (2016) 2013. Acryllium vulturinum. The IUCN Red List of Threatened Species. Version 2020-1
Aepyceros melampus,http://145.136.242.65:8090/iucn_maps/Aepyceros_melampus_2019-10-08_08-58-22_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Aepyceros melampus,Occurrence of Aepyceros melampus,IUCN (International Union for Conservation of Nature) 2016. Aepyceros melampus. The IUCN Red List of Threatened Species. Version 2020-1
Aerodramus fuciphagus,http://145.136.242.65:8090/iucn_maps/Aerodramus_fuciphagus_2019-10-08_08-58-26_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Aerodramus fuciphagus,Occurrence of Aerodramus fuciphagus,BirdLife International and Handbook of the Birds of the World (2016) 2013. Aerodramus fuciphagus. The IUCN Red List of Threatened Species. Version 2020-1
Aesculus hippocastanum,http://145.136.242.65:8090/iucn_maps/Aesculus_hippocastanum_2019-10-08_08-58-30_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Aesculus hippocastanum,Occurrence of Aesculus hippocastanum,IUCN (International Union for Conservation of Nature) 2017. Aesculus hippocastanum. The IUCN Red List of Threatened Species. Version 2020-1
Agamia agami,http://145.136.242.65:8090/iucn_maps/Agamia_agami_2019-10-08_08-58-35_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Agamia agami,Occurrence of Agamia agami,BirdLife International and Handbook of the Birds of the World (2016) 2002. Agamia agami. The IUCN Red List of Threatened Species. Version 2020-1
Agaricia agaricites,http://145.136.242.65:8090/iucn_maps/Agaricia_agaricites_2019-10-08_08-58-39_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Agaricia agaricites,Occurrence of Agaricia agaricites,IUCN (International Union for Conservation of Nature) 2009. Agaricia agaricites. The IUCN Red List of Threatened Species. Version 2020-1
Ailuropoda melanoleuca,http://145.136.242.65:8090/iucn_maps/Ailuropoda_melanoleuca_2019-10-08_08-58-44_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Ailuropoda melanoleuca,Occurrence of Ailuropoda melanoleuca,Dajun Wang 2016. Ailuropoda melanoleuca. The IUCN Red List of Threatened Species. Version 2020-1
Ailurus fulgens,http://145.136.242.65:8090/iucn_maps/Ailurus_fulgens_2019-10-08_08-58-49_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Ailurus fulgens,Occurrence of Ailurus fulgens,International Union for the Conservation of Nature 2015. Ailurus fulgens. The IUCN Red List of Threatened Species. Version 2020-1
Alauda arvensis,http://145.136.242.65:8090/iucn_maps/Alauda_arvensis_2019-10-08_08-58-57_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Alauda arvensis,Occurrence of Alauda arvensis,BirdLife International and Handbook of the Birds of the World (2018) 2018. Alauda arvensis. The IUCN Red List of Threatened Species. Version 2020-1
Alligator mississippiensis,http://145.136.242.65:8090/iucn_maps/Alligator_mississippiensis_2019-10-08_08-59-13_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Alligator mississippiensis,Occurrence of Alligator mississippiensis,"Elsey, R. & Woodward, A. 2018. Alligator mississippiensis. The IUCN Red List of Threatened Species. Version 2020-1"
Alopias vulpinus,http://145.136.242.65:8090/iucn_maps/Alopias_vulpinus_2019-10-08_08-59-21_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Alopias vulpinus,Occurrence of Alopias vulpinus,IUCN SSC Shark Specialist Group 2018. Alopias vulpinus. The IUCN Red List of Threatened Species. Version 2020-1
Alytes obstetricans,http://145.136.242.65:8090/iucn_maps/Alytes_obstetricans_2019-10-08_08-59-26_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Alytes obstetricans,Occurrence of Alytes obstetricans,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe. 2009. Alytes obstetricans. The IUCN Red List of Threatened Species. Version 2020-1"
Amazilia fimbriata,http://145.136.242.65:8090/iucn_maps/Amazilia_fimbriata_2019-10-08_08-59-31_print--trimmed--(2020-07-09--13:57:05).jpg,Verspreiding van Amazilia fimbriata,Occurrence of Amazilia fimbriata,BirdLife International and Handbook of the Birds of the World (2016) 2006. Amazilia fimbriata. The IUCN Red List of Threatened Species. Version 2020-1
