Chloebia gouldiae,BirdLife International and Handbook of the Birds of the World (2016) 2016. Chloebia gouldiae. The IUCN Red List of Threatened Species. Version 2020-1
Equus zebra,UCN 2019. Equus zebra. The IUCN Red List of Threatened Species. Version 2020-1
Eretmochelys imbricata,IUCN 2014. Eretmochelys imbricata. The IUCN Red List of Threatened Species. Version 2020-1
Favia favus,IUCN (International Union for Conservation of Nature) 2009. Favia favus. The IUCN Red List of Threatened Species. Version 2020-1
Larus ridibundus,BirdLife International and Handbook of the Birds of the World (2016) 2013. Larus ridibundus. The IUCN Red List of Threatened Species. Version 2020-1
Rhabdotorrhinus corrugatu,BirdLife International and Handbook of the Birds of the World (2016) 2009. Rhabdotorrhinus corrugatus. The IUCN Red List of Threatened Species. Version 2020-1
Syrrhaptes paradoxus,BirdLife International and Handbook of the Birds of the World (2016) 2016. Syrrhaptes paradoxus. The IUCN Red List of Threatened Species. Version 2020-1
Tapirus indicus,IUCN (International Union for Conservation of Nature) 2008. Tapirus indicus. The IUCN Red List of Threatened Species. Version 2020-1
